courseid, course_name, platformid, duration, creation_date, tags, photo, active, recbegindate, recenddate
14,NaN,255,33,2019-08-02,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,"[{}, {}, {}]",y,2019-08-02,9999-12-31
15,Construction,123,44,2022-02-18,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,"[{}, {}]",y,2022-02-18,9999-12-31
16,NaN,865,98,2019-12-01,NaN,"[{}, {}, {}, {}, {}]",y,2019-12-01,9999-12-31
17,JTIDS,31,68,2020-05-13,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,"[{}, {}, {}, {}, {}]",y,2020-05-13,9999-12-31
18,CD Mastering,712,90,2019-09-02,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,"[{}, {}, {}, {}]",y,2019-09-02,9999-12-31
19,OB/GYN,631,24,2022-01-04,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,[],y,2022-01-04,9999-12-31
20,Yammer,941,171,2021-03-14,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,"[{}, {}, {}]",y,2021-03-14,9999-12-31
21,EIM,782,190,2022-01-30,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,[],y,2022-01-30,9999-12-31
22,Tax Advisory,403,133,2019-08-13,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,[{}],y,2019-08-13,9999-12-31
23,Kickboxing,525,47,2019-09-08,nisl duis ac nibh fusce lacus purus aliquet at feugiat non,[{}],y,2019-09-08,9999-12-31
24,Digital Electronics,276,48,2019-06-25,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,"[{}, {}, {}, {}]",y,2019-06-25,9999-12-31
25,Lotus Notes,702,169,2018-02-14,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,"[{}, {}, {}, {}]",y,2018-02-14,9999-12-31
26,JTIDS,273,218,2019-01-14,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,"[{}, {}, {}, {}, {}]",y,2019-01-14,9999-12-31
27,Custom Homes,804,121,2018-07-25,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,"[{}, {}, {}, {}, {}]",y,2018-07-25,9999-12-31
28,First Time Home Buyers,50,66,2018-04-12,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,[{}],y,2018-04-12,9999-12-31
29,Kickboxing,432,100,2019-06-04,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,"[{}, {}]",y,2019-06-04,9999-12-31
30,FCNSP,210,235,2021-08-28,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,[],y,2021-08-28,9999-12-31
31,GCC,736,221,2022-07-11,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,"[{}, {}, {}]",y,2022-07-11,9999-12-31
32,FPC 1,744,183,2021-04-14,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,"[{}, {}, {}, {}]",y,2021-04-14,9999-12-31
33,NaN,182,96,2021-07-02,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,"[{}, {}, {}, {}, {}]",y,2021-07-02,9999-12-31
34,Zymography,535,233,2018-08-01,NaN,"[{}, {}, {}, {}]",y,2018-08-01,9999-12-31
35,NaN,570,24,2020-01-16,NaN,[],y,2020-01-16,9999-12-31
36,JConsole,893,153,2022-06-20,NaN,[{}],y,2022-06-20,9999-12-31
37,Customer Service,201,72,2019-07-27,NaN,"[{}, {}, {}, {}]",y,2019-07-27,9999-12-31
38,RTI,48,41,2022-06-12,NaN,"[{}, {}, {}, {}]",y,2022-06-12,9999-12-31
39,NaN,393,105,2019-07-07,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,"[{}, {}, {}, {}, {}]",y,2019-07-07,9999-12-31
40,Citrix XenDesktop,105,37,2018-06-14,NaN,[],y,2018-06-14,9999-12-31
41,Jenkins,368,128,2019-11-13,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,"[{}, {}, {}, {}, {}]",y,2019-11-13,9999-12-31
42,NaN,199,29,2018-08-01,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,"[{}, {}, {}]",y,2018-08-01,9999-12-31
43,Biodiversity,879,84,2020-03-07,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,"[{}, {}, {}, {}, {}]",y,2020-03-07,9999-12-31
44,Offshore Outsourcing,661,130,2022-08-04,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,[],y,2022-08-04,9999-12-31
45,EFQM Excellence Model,646,34,2019-05-03,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,"[{}, {}, {}, {}, {}]",y,2019-05-03,9999-12-31
46,Ozone Therapy,363,184,2022-04-08,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,[{}],y,2022-04-08,9999-12-31
94,NaN,84,225,2020-05-08,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,[{}],y,2020-05-08,9999-12-31
47,MLA Style,69,41,2018-04-21,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,[],y,2018-04-21,9999-12-31
48,Income Tax,566,184,2020-12-15,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,"[{}, {}, {}]",y,2020-12-15,9999-12-31
49,SAP EBP,824,100,2021-01-30,NaN,"[{}, {}]",y,2021-01-30,9999-12-31
50,Cross Functional Team Building,694,131,2021-11-19,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,[],y,2021-11-19,9999-12-31
51,Solaris Zones,600,20,2020-11-11,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,[{}],y,2020-11-11,9999-12-31
52,Drilling Engineering,914,128,2022-03-25,NaN,"[{}, {}]",y,2022-03-25,9999-12-31
53,Aerial Silks,992,142,2021-05-12,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,"[{}, {}]",y,2021-05-12,9999-12-31
54,Knee Surgery,52,61,2020-01-27,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,"[{}, {}, {}]",y,2020-01-27,9999-12-31
55,NPDES,576,122,2021-08-04,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,"[{}, {}, {}, {}]",y,2021-08-04,9999-12-31
56,Career Development,405,100,2019-03-26,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,[],y,2019-03-26,9999-12-31
57,MbUnit,108,183,2020-07-19,NaN,"[{}, {}, {}]",y,2020-07-19,9999-12-31
58,Key Opinion Leaders,136,138,2022-01-25,NaN,"[{}, {}, {}, {}, {}]",y,2022-01-25,9999-12-31
59,OTM,873,96,2018-07-28,orci luctus et ultrices posuere cubilia curae mauris viverra diam,[{}],y,2018-07-28,9999-12-31
60,JVs,759,79,2022-02-05,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,"[{}, {}, {}, {}]",y,2022-02-05,9999-12-31
61,PMIS,490,228,2021-11-03,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,[{}],y,2021-11-03,9999-12-31
62,Software Testing Life Cycle,402,55,2020-04-29,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,"[{}, {}, {}, {}, {}]",y,2020-04-29,9999-12-31
63,Psychiatry,788,21,2019-03-21,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,[{}],y,2019-03-21,9999-12-31
64,NaN,522,203,2019-10-24,orci mauris lacinia sapien quis libero nullam sit amet turpis,"[{}, {}, {}, {}]",y,2019-10-24,9999-12-31
65,FDR,344,140,2021-05-27,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,[],y,2021-05-27,9999-12-31
66,Gastroenterology,814,201,2021-03-12,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,"[{}, {}, {}]",y,2021-03-12,9999-12-31
67,TPM,169,26,2021-06-02,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,"[{}, {}, {}]",y,2021-06-02,9999-12-31
68,Real Estate,262,101,2021-10-05,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,"[{}, {}]",y,2021-10-05,9999-12-31
69,FCPA,472,127,2019-03-17,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,"[{}, {}, {}]",y,2019-03-17,9999-12-31
70,Critical Thinking,36,175,2019-09-26,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,"[{}, {}, {}]",y,2019-09-26,9999-12-31
71,XBR,123,167,2019-01-15,NaN,[],y,2019-01-15,9999-12-31
72,Business Objects,49,210,2019-02-09,NaN,"[{}, {}, {}, {}, {}]",y,2019-02-09,9999-12-31
73,SBEM,67,194,2018-02-10,NaN,"[{}, {}, {}, {}, {}]",y,2018-02-10,9999-12-31
74,Krakatoa,244,96,2021-03-18,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,[],y,2021-03-18,9999-12-31
75,NaN,123,169,2018-03-03,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,"[{}, {}, {}, {}, {}]",y,2018-03-03,9999-12-31
76,Planning,950,124,2021-03-25,NaN,"[{}, {}, {}, {}, {}]",y,2021-03-25,9999-12-31
77,Emergency Medicine,236,138,2019-04-28,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,"[{}, {}]",y,2019-04-28,9999-12-31
78,iPhone Application Development,368,239,2019-05-03,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,"[{}, {}, {}]",y,2019-05-03,9999-12-31
79,MPEG,868,231,2018-04-16,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,[],y,2018-04-16,9999-12-31
80,DVB-RCS,209,50,2021-02-28,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,[{}],y,2021-02-28,9999-12-31
81,GMF,73,53,2018-01-01,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,"[{}, {}, {}, {}]",y,2018-01-01,9999-12-31
82,NaN,314,209,2020-08-25,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,[],y,2020-08-25,9999-12-31
83,Sleep Disorders,235,111,2020-04-04,NaN,"[{}, {}, {}, {}]",y,2020-04-04,9999-12-31
84,Doors,875,165,2022-06-08,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,"[{}, {}, {}]",y,2022-06-08,9999-12-31
85,RFLP,858,89,2018-07-05,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,"[{}, {}]",y,2018-07-05,9999-12-31
86,Red Hat Linux,22,225,2021-10-02,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,[],y,2021-10-02,9999-12-31
87,OTA,55,111,2018-01-18,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,[{}],y,2018-01-18,9999-12-31
88,CQI,341,77,2020-12-05,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,"[{}, {}, {}, {}, {}]",y,2020-12-05,9999-12-31
89,Sculpture,221,225,2018-08-25,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,[{}],y,2018-08-25,9999-12-31
90,Theory,513,46,2021-05-14,NaN,[],y,2021-05-14,9999-12-31
91,Cross-functional Coordination,506,39,2018-08-29,NaN,[{}],y,2018-08-29,9999-12-31
92,NLTK,337,137,2021-06-10,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,[],y,2021-06-10,9999-12-31
93,PFTrack,145,107,2020-05-03,NaN,"[{}, {}, {}]",y,2020-05-03,9999-12-31
95,Residential Homes,828,44,2019-02-06,NaN,"[{}, {}, {}]",y,2019-02-06,9999-12-31
96,UIX,985,170,2021-09-14,NaN,[],y,2021-09-14,9999-12-31
97,OMAP,608,88,2018-12-15,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,"[{}, {}, {}, {}]",y,2018-12-15,9999-12-31
98,Veterinary Medicine,232,116,2019-09-18,NaN,[{}],y,2019-09-18,9999-12-31
99,Epidemiology,706,214,2021-09-02,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,[{}],y,2021-09-02,9999-12-31
100,RSS,543,209,2020-04-25,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,"[{}, {}, {}, {}]",y,2020-04-25,9999-12-31
101,AXI,545,66,2020-06-10,semper rutrum nulla nunc purus phasellus in felis donec semper sapien,"[{}, {}, {}, {}, {}]",y,2020-06-10,9999-12-31
102,NSIS,850,203,2019-01-17,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,"[{}, {}]",y,2019-01-17,9999-12-31
103,SAP,612,235,2020-09-20,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,"[{}, {}]",y,2020-09-20,9999-12-31
104,Data Analysis,322,59,2020-08-13,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,"[{}, {}]",y,2020-08-13,9999-12-31
105,Workshops,427,141,2019-12-23,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,"[{}, {}, {}, {}]",y,2019-12-23,9999-12-31
106,LDRPS,973,227,2019-10-22,NaN,"[{}, {}, {}, {}, {}]",y,2019-10-22,9999-12-31
107,Art Direction,849,124,2019-09-08,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,[{}],y,2019-09-08,9999-12-31
108,NBS Specification,819,182,2019-02-14,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,"[{}, {}, {}, {}]",y,2019-02-14,9999-12-31
109,DDI Certified,566,77,2020-10-10,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,[],y,2020-10-10,9999-12-31
110,Digital Marketing,125,121,2020-03-09,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,"[{}, {}, {}]",y,2020-03-09,9999-12-31
111,CentOS,244,29,2020-04-12,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,"[{}, {}]",y,2020-04-12,9999-12-31
112,BMP,501,110,2022-01-04,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,[{}],y,2022-01-04,9999-12-31
113,FM/2,863,233,2020-05-05,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,[],y,2020-05-05,9999-12-31
114,Fashion Blogging,612,237,2021-11-06,NaN,"[{}, {}, {}, {}, {}]",y,2021-11-06,9999-12-31
115,HSIA,176,186,2021-07-17,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,"[{}, {}, {}, {}, {}]",y,2021-07-17,9999-12-31
116,dSPACE,221,176,2019-11-05,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,[{}],y,2019-11-05,9999-12-31
117,WLM,328,82,2018-07-18,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,"[{}, {}, {}, {}]",y,2018-07-18,9999-12-31
118,Zsh,858,189,2019-02-12,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,[{}],y,2019-02-12,9999-12-31
119,PMO Design,585,145,2021-06-16,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,"[{}, {}]",y,2021-06-16,9999-12-31
120,Oenology,906,206,2018-10-27,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,"[{}, {}, {}, {}, {}]",y,2018-10-27,9999-12-31
121,Kubuntu,36,166,2018-10-06,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,"[{}, {}, {}, {}, {}]",y,2018-10-06,9999-12-31
122,Sales Operations,649,182,2019-09-28,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,[],y,2019-09-28,9999-12-31
123,Lubrication,592,191,2022-08-15,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,[{}],y,2022-08-15,9999-12-31
124,Unreal Engine 3,850,41,2019-09-10,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,[{}],y,2019-09-10,9999-12-31
125,MMSC,694,51,2021-04-25,NaN,"[{}, {}]",y,2021-04-25,9999-12-31
126,NaN,739,140,2021-02-09,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,"[{}, {}, {}, {}]",y,2021-02-09,9999-12-31
127,NaN,426,74,2022-07-02,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,[],y,2022-07-02,9999-12-31
128,MICROS,798,23,2021-12-10,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,"[{}, {}, {}]",y,2021-12-10,9999-12-31
129,gSOAP,576,139,2018-11-15,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,"[{}, {}]",y,2018-11-15,9999-12-31
130,End User Training,74,50,2022-02-09,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,"[{}, {}, {}]",y,2022-02-09,9999-12-31
131,Microsoft Dynamics SL,545,85,2021-11-01,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,"[{}, {}, {}, {}, {}]",y,2021-11-01,9999-12-31
132,QC 9.2,312,21,2019-01-04,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,"[{}, {}]",y,2019-01-04,9999-12-31
133,NaN,729,88,2018-11-01,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,[],y,2018-11-01,9999-12-31
134,Xara,198,94,2019-04-11,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,[{}],y,2019-04-11,9999-12-31
135,NaN,362,157,2020-09-01,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,[],y,2020-09-01,9999-12-31
136,VHDL-AMS,860,209,2019-08-18,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,[],y,2019-08-18,9999-12-31
137,SGE,475,117,2019-03-19,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,[{}],y,2019-03-19,9999-12-31
138,CBI,830,138,2019-09-04,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,"[{}, {}, {}]",y,2019-09-04,9999-12-31
139,MP2,290,103,2021-11-09,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,[],y,2021-11-09,9999-12-31
140,Income Tax,846,84,2018-04-06,potenti in eleifend quam a odio in hac habitasse platea,[],y,2018-04-06,9999-12-31
141,TV Production,840,240,2021-02-26,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,"[{}, {}]",y,2021-02-26,9999-12-31
278,NaN,259,146,2021-08-17,NaN,[{}],y,2021-08-17,9999-12-31
142,Kondor+,890,95,2019-09-29,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,"[{}, {}]",y,2019-09-29,9999-12-31
143,OllyDbg,898,161,2019-06-25,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,"[{}, {}]",y,2019-06-25,9999-12-31
144,VGA,825,75,2022-04-27,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,"[{}, {}, {}]",y,2022-04-27,9999-12-31
145,Target Costing,594,120,2020-10-29,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,"[{}, {}]",y,2020-10-29,9999-12-31
146,MTTR,719,47,2019-10-22,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,"[{}, {}, {}, {}]",y,2019-10-22,9999-12-31
147,Sustainability,480,230,2020-06-01,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,"[{}, {}, {}, {}, {}]",y,2020-06-01,9999-12-31
148,ISO,705,187,2018-05-30,NaN,"[{}, {}]",y,2018-05-30,9999-12-31
149,MyBatis,952,135,2021-02-16,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,[{}],y,2021-02-16,9999-12-31
150,NaN,749,107,2021-11-06,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,[{}],y,2021-11-06,9999-12-31
151,NaN,433,224,2020-05-17,NaN,"[{}, {}, {}]",y,2020-05-17,9999-12-31
152,UK Employment Law,80,128,2019-04-29,nulla nunc purus phasellus in felis donec semper sapien a libero nam,"[{}, {}]",y,2019-04-29,9999-12-31
153,CBM,361,54,2019-10-29,NaN,"[{}, {}, {}, {}]",y,2019-10-29,9999-12-31
154,PSpice,964,134,2022-04-13,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,[],y,2022-04-13,9999-12-31
155,Zone Alarm,905,207,2020-06-06,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,"[{}, {}, {}, {}]",y,2020-06-06,9999-12-31
156,MLOAD,576,56,2018-02-07,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,"[{}, {}, {}, {}, {}]",y,2018-02-07,9999-12-31
157,UG,370,133,2021-01-02,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,"[{}, {}, {}, {}, {}]",y,2021-01-02,9999-12-31
158,Factory,184,71,2018-06-21,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,"[{}, {}, {}, {}, {}]",y,2018-06-21,9999-12-31
159,Cloud Computing IaaS,932,193,2019-01-08,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,[{}],y,2019-01-08,9999-12-31
160,Following Up,117,59,2019-08-04,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,"[{}, {}, {}, {}, {}]",y,2019-08-04,9999-12-31
161,MDRs,637,232,2021-03-12,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,[],y,2021-03-12,9999-12-31
162,Get Along Well with Others,363,82,2018-02-02,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,"[{}, {}, {}, {}]",y,2018-02-02,9999-12-31
163,Film,54,173,2020-01-31,eleifend quam a odio in hac habitasse platea dictumst maecenas ut,"[{}, {}, {}, {}]",y,2020-01-31,9999-12-31
164,RCS Selector,78,145,2018-07-24,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,"[{}, {}, {}, {}]",y,2018-07-24,9999-12-31
165,CSG,648,99,2019-12-26,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,"[{}, {}, {}, {}, {}]",y,2019-12-26,9999-12-31
166,SAP BPM,627,73,2020-11-09,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,[{}],y,2020-11-09,9999-12-31
167,NaN,967,169,2022-05-25,NaN,"[{}, {}, {}, {}, {}]",y,2022-05-25,9999-12-31
168,PSD,149,230,2021-09-17,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,"[{}, {}, {}]",y,2021-09-17,9999-12-31
169,Luxury Homes,153,154,2022-05-24,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,"[{}, {}]",y,2022-05-24,9999-12-31
170,Virtual DJ,822,202,2021-06-07,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,"[{}, {}, {}, {}]",y,2021-06-07,9999-12-31
171,Title IV,693,74,2018-03-22,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,[{}],y,2018-03-22,9999-12-31
172,First Time Home Buyers,377,159,2020-08-14,est et tempus semper est quam pharetra magna ac consequat,"[{}, {}, {}, {}]",y,2020-08-14,9999-12-31
