reviewid, userid, courseid, feedback, like_dislike, ranking_score, active, recbegindate, recenddate
80,822,591,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,f,1,y,2019-03-02,9999-12-31
81,317,764,justo nec condimentum neque sapien placerat ante nulla justo aliquam,t,5,y,2018-12-02,9999-12-31
82,299,464,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,t,2,y,2018-05-01,9999-12-31
83,456,190,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,t,5,y,2020-08-03,9999-12-31
84,995,221,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,f,1,y,2021-03-29,9999-12-31
85,30,810,nibh in lectus pellentesque at nulla suspendisse potenti cras in,f,3,y,2021-07-21,9999-12-31
86,790,829,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,t,2,y,2021-05-22,9999-12-31
87,316,64,porttitor pede justo eu massa donec dapibus duis at velit eu est congue,t,3,y,2021-02-14,9999-12-31
88,626,229,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,t,4,y,2020-08-19,9999-12-31
89,937,150,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,t,3,y,2019-02-08,9999-12-31
90,386,738,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,t,4,y,2020-10-17,9999-12-31
91,863,553,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,t,2,y,2022-06-09,9999-12-31
92,967,336,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,t,5,y,2022-01-09,9999-12-31
93,536,719,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,f,4,y,2020-07-13,9999-12-31
94,322,18,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,t,2,y,2018-06-29,9999-12-31
95,974,436,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,f,5,y,2022-03-21,9999-12-31
96,491,534,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,f,5,y,2020-06-21,9999-12-31
97,380,822,risus praesent lectus vestibulum quam sapien varius ut blandit non,f,5,y,2021-05-13,9999-12-31
98,47,273,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,t,3,y,2022-01-19,9999-12-31
99,46,571,,f,,y,2021-08-06,9999-12-31
100,197,933,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,f,1,y,2021-01-10,9999-12-31
101,446,975,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,t,3,y,2019-12-04,9999-12-31
102,406,50,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,t,4,y,2022-02-05,9999-12-31
103,268,167,,f,,y,2019-02-25,9999-12-31
104,699,737,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,t,3,y,2018-09-16,9999-12-31
105,714,479,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,f,5,y,2022-04-14,9999-12-31
106,665,273,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,f,3,y,2019-01-22,9999-12-31
107,549,709,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,f,4,y,2022-08-09,9999-12-31
108,496,187,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,f,5,y,2020-03-09,9999-12-31
109,899,739,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,t,5,y,2019-12-23,9999-12-31
110,379,183,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,f,4,y,2020-03-19,9999-12-31
111,955,679,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,f,1,y,2018-01-29,9999-12-31
112,627,151,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,t,3,y,2020-11-17,9999-12-31
113,713,52,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,t,4,y,2022-01-04,9999-12-31
282,179,693,,t,,y,2018-10-23,9999-12-31
114,265,929,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,t,5,y,2022-04-27,9999-12-31
115,430,332,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,f,2,y,2020-02-08,9999-12-31
116,52,762,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,f,2,y,2022-08-14,9999-12-31
117,139,754,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,f,4,y,2020-09-27,9999-12-31
118,317,468,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,t,4,y,2018-11-26,9999-12-31
119,730,37,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,t,5,y,2019-09-12,9999-12-31
120,957,470,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,t,4,y,2021-05-04,9999-12-31
121,739,301,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,f,2,y,2019-03-15,9999-12-31
122,843,895,augue vel accumsan tellus nisi eu orci mauris lacinia sapien,f,1,y,2021-01-21,9999-12-31
123,952,689,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,t,4,y,2018-08-03,9999-12-31
124,342,436,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,t,4,y,2021-11-05,9999-12-31
125,321,576,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,f,4,y,2018-06-06,9999-12-31
126,940,903,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,t,4,y,2021-12-13,9999-12-31
127,370,120,,t,,y,2020-01-23,9999-12-31
128,978,839,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,t,1,y,2022-07-12,9999-12-31
129,922,994,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,f,4,y,2020-12-31,9999-12-31
130,826,330,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,t,1,y,2019-10-07,9999-12-31
131,652,4,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,f,5,y,2019-06-19,9999-12-31
132,311,852,,t,,y,2018-03-26,9999-12-31
133,594,841,,t,,y,2021-05-21,9999-12-31
134,40,230,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,t,2,y,2019-07-13,9999-12-31
135,755,339,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,f,5,y,2021-08-21,9999-12-31
136,568,476,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,t,5,y,2019-09-03,9999-12-31
137,877,918,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,f,1,y,2020-10-08,9999-12-31
138,625,201,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,f,2,y,2020-01-18,9999-12-31
139,973,314,,t,,y,2022-08-06,9999-12-31
140,884,791,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,f,5,y,2019-09-17,9999-12-31
141,517,865,ut mauris eget massa tempor convallis nulla neque libero convallis eget,t,4,y,2019-05-18,9999-12-31
142,878,570,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,f,4,y,2021-03-12,9999-12-31
143,181,509,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,t,2,y,2020-12-19,9999-12-31
144,381,741,,f,,y,2022-05-14,9999-12-31
145,27,131,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,f,5,y,2019-03-08,9999-12-31
146,385,1,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,f,2,y,2020-12-12,9999-12-31
147,263,107,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,f,4,y,2018-05-11,9999-12-31
148,637,604,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,t,1,y,2020-07-24,9999-12-31
149,993,39,,t,,y,2021-03-24,9999-12-31
150,869,185,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,t,3,y,2019-11-11,9999-12-31
151,499,657,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,t,4,y,2022-04-27,9999-12-31
152,855,805,donec quis orci eget orci vehicula condimentum curabitur in libero,f,4,y,2021-01-15,9999-12-31
153,249,724,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,t,2,y,2021-02-15,9999-12-31
154,540,481,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,t,4,y,2018-10-21,9999-12-31
155,372,556,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,f,4,y,2018-06-30,9999-12-31
156,541,983,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,t,4,y,2022-04-25,9999-12-31
157,529,330,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,f,5,y,2020-05-02,9999-12-31
158,678,533,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,f,5,y,2019-01-10,9999-12-31
159,513,136,,f,,y,2018-12-23,9999-12-31
160,142,17,justo nec condimentum neque sapien placerat ante nulla justo aliquam,f,4,y,2019-07-23,9999-12-31
161,823,118,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,f,2,y,2020-09-11,9999-12-31
162,621,563,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,t,3,y,2019-12-19,9999-12-31
163,633,860,eget nunc donec quis orci eget orci vehicula condimentum curabitur in,t,2,y,2018-09-21,9999-12-31
164,789,994,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,t,3,y,2018-04-10,9999-12-31
165,970,650,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,t,1,y,2022-07-21,9999-12-31
166,471,706,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,f,5,y,2020-11-08,9999-12-31
167,440,678,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,f,4,y,2018-04-18,9999-12-31
168,535,73,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,t,2,y,2019-11-18,9999-12-31
169,576,320,,t,,y,2022-06-05,9999-12-31
170,426,854,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,t,5,y,2018-06-09,9999-12-31
171,640,667,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,t,1,y,2018-11-27,9999-12-31
172,533,411,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,t,4,y,2019-10-14,9999-12-31
173,406,801,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,t,1,y,2020-10-13,9999-12-31
174,615,348,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,f,4,y,2021-08-24,9999-12-31
175,213,446,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,t,2,y,2020-01-26,9999-12-31
176,234,696,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,f,3,y,2022-01-10,9999-12-31
177,341,15,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,f,1,y,2019-08-01,9999-12-31
178,628,78,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,f,1,y,2019-11-08,9999-12-31
179,98,255,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,f,2,y,2019-06-23,9999-12-31
180,861,941,ornare consequat lectus in est risus auctor sed tristique in tempus sit,t,1,y,2021-04-07,9999-12-31
181,350,232,,f,,y,2020-03-16,9999-12-31
182,681,738,,t,,y,2021-02-16,9999-12-31
183,202,623,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,t,4,y,2018-03-25,9999-12-31
184,336,253,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,t,3,y,2020-03-04,9999-12-31
185,980,333,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,f,2,y,2018-12-19,9999-12-31
186,39,559,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,f,1,y,2020-12-24,9999-12-31
187,975,78,,t,,y,2021-09-29,9999-12-31
188,313,367,tellus in sagittis dui vel nisl duis ac nibh fusce lacus,f,4,y,2022-08-20,9999-12-31
189,845,640,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,t,5,y,2019-01-30,9999-12-31
190,358,262,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,t,3,y,2020-08-21,9999-12-31
191,898,335,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,t,1,y,2019-05-24,9999-12-31
192,812,686,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,f,4,y,2018-01-13,9999-12-31
193,715,403,,t,,y,2020-07-26,9999-12-31
194,848,961,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,f,4,y,2021-05-14,9999-12-31
195,319,879,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,t,4,y,2021-02-16,9999-12-31
196,984,876,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,t,5,y,2019-05-21,9999-12-31
197,971,369,,f,,y,2019-11-19,9999-12-31
198,17,222,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,t,4,y,2019-11-30,9999-12-31
199,821,316,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,f,3,y,2020-01-14,9999-12-31
200,533,38,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,f,3,y,2019-08-12,9999-12-31
201,959,283,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,f,4,y,2018-03-21,9999-12-31
202,283,983,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,t,1,y,2018-12-25,9999-12-31
203,767,918,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,t,5,y,2019-02-04,9999-12-31
204,373,609,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,f,4,y,2018-06-12,9999-12-31
205,63,270,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,f,5,y,2018-04-20,9999-12-31
206,241,72,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,t,4,y,2019-08-13,9999-12-31
207,328,467,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,t,4,y,2018-02-20,9999-12-31
208,701,868,ultrices phasellus id sapien in sapien iaculis congue vivamus metus,t,2,y,2018-09-19,9999-12-31
209,819,709,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,t,1,y,2020-09-23,9999-12-31
210,699,995,,f,,y,2019-09-05,9999-12-31
211,667,141,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,f,3,y,2021-12-26,9999-12-31
212,356,847,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,t,2,y,2018-11-15,9999-12-31
213,174,348,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,t,1,y,2018-04-14,9999-12-31
214,377,155,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,f,2,y,2018-11-03,9999-12-31
215,626,279,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,f,1,y,2022-06-12,9999-12-31
216,558,18,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,f,4,y,2021-06-20,9999-12-31
217,686,591,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,t,4,y,2019-03-12,9999-12-31
218,389,564,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,f,1,y,2021-02-24,9999-12-31
219,318,867,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,t,3,y,2021-10-30,9999-12-31
220,213,986,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,f,5,y,2022-01-14,9999-12-31
221,18,689,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,t,4,y,2018-09-19,9999-12-31
222,766,312,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,f,3,y,2018-11-23,9999-12-31
223,950,191,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,t,4,y,2021-11-08,9999-12-31
224,925,243,,t,,y,2020-03-07,9999-12-31
